County,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total_Male,Total_Female,Total_age0to17,Total_age18to64,Total_age65plus,Total_age85plusr,All Specialties (AAMC),Cardiovascular Disease (AAMC),Pediatrics** (AAMC),Pulmonary Disease (AAMC),Geriatrics Primary Care (2019),Emergency Medicine specialists (2019),Cardiology specialists (2019),crime_rate_per_100000,Hotspot
Collier County,-1.5,7.8,10.1,17.9,13.6,25.4,24.8,36.2,3.4,70649,127.4,197298,160.9,98.7,186769,191719,64794,191759,121935,17249,1003.718014,29.19603246,61.85720571,7.463380178,1.865845044,52.03042181,37.44129056,2440805319,1
Columbia County,-0.9,0.5,10,10.5,13.3,36.1,35,15.6,3.7,46195,83.3,28636,84.7,35.9,36366,34137,15312,41877,13314,1486,186.967965,5.438502347,11.52247515,1.390244057,0.347561014,9.69198714,6.974391019,6543979391,0
DeSoto County,1,6.2,-0.9,5.3,27.3,43.1,18.1,11.4,3.8,37233,67.2,14590,54.7,22.9,21230,16259,7099,22073,8317,1068,99.41764239,2.891848779,6.12691759,0.739243145,0.184810786,5.153580782,3.708536444,4316713503,0
Dixie County,-4.9,-0.2,8.8,8.6,20.7,44.7,25.2,9.4,4.2,37148,67,9319,23.3,13.2,9244,7456,3035,9716,3949,371,44.28698093,1.288214533,2.729321234,0.32930621,0.082326553,2.295734724,1.652019489,3638644918,0
Duval County,4.6,4.4,4.2,8.6,10.5,27.9,32.5,29.2,3.6,55733,100.5,388486,1133.9,509.7,460434,489747,214676,602022,133483,14914,2519.799271,73.29562711,155.29037,18.73655714,4.684139286,130.6205698,93.99506167,6215464156,0
Escambia County,1.4,1.1,4.8,5.8,9.2,27.3,37.1,26.4,3.5,50644,91.4,136703,453.4,208.2,156179,159355,65784,196602,53148,6061,836.7693556,24.33984936,51.56848182,6.221994359,1.55549859,43.37618925,31.2136717,79851676,1
Flagler County,-4.7,1.4,22.4,23.8,8,33.9,33.7,24.4,4,58975,106.4,48595,197.1,100.1,53927,58140,18884,58755,34428,3697,297.1921612,8.6446909,18.31537981,2.209841861,0.552460465,15.40575469,11.08604,2571131298,1
Franklin County,-0.3,1.4,-2.4,-1,19.7,35.7,27.4,17.1,3.5,40297,72.7,8652,21.6,16.2,6545,5191,1888,7034,2814,215,31.12287474,0.905298548,1.918042755,0.231421418,0.057855355,1.613337887,1.160964115,7932402138,0
Gadsden County,1.3,1,-4,-3,20.7,36.6,26.1,16.7,4.6,42259,76.2,19506,89.8,37.8,21790,24104,10097,27600,8197,891,121.7069882,3.540198668,7.50056699,0.904980792,0.226245198,6.309008947,4.539986971,5282071265,1
Gilchrist County,-0.5,0.1,22,22.1,14.1,42.2,29.6,14.2,3.8,42186,76.1,7307,48.4,20.9,9429,8827,3703,10812,3741,483,48.41336071,1.408242186,2.983622063,0.359988873,0.089997218,2.509636714,1.805944179,1949087473,0
Glades County,-3.9,2.9,9.5,12.4,24.4,40.6,25.1,9.9,4,38680,69.8,6979,16,8.7,7719,6005,2080,7900,3744,381,36.39488181,1.058650075,2.242946384,0.270622661,0.067655665,1.886626548,1.357623681,2922442863,0
Gulf County,-4,0.7,5.9,6.6,15.1,37.3,29.9,17.7,4.4,45426,81.9,9110,28.1,16.2,9461,6703,2500,10177,3487,337,42.86555447,1.246868246,2.641721463,0.318736861,0.079684215,2.222051262,1.598996588,435908775,0
Hamilton County,1.1,1,-7.5,-6.5,23.9,44,22.8,9.3,4.2,36299,65.5,5778,28.8,11.2,8283,6027,2707,9028,2575,290,37.94890401,1.103853291,2.338717776,0.282177956,0.070544489,1.967183467,1.415592748,3413682597,0
